scenario,gradation,year,stationary,nonstationary,delta
stationary,fines_washout,22,0.37135416666666665,0.39508333333333334,0.02372916666666669
stationary,fines_washout,24,0.3700625,0.39947916666666666,0.029416666666666647
stationary,fines_washout,26,0.375,0.4003541666666666,0.025354166666666622
stationary,fines_washout,28,0.3738958333333333,0.4037708333333333,0.029874999999999985
stationary,fines_washout,30,0.3734166666666667,0.409125,0.03570833333333334
stationary,fines_washout,32,0.37252083333333336,0.40929166666666666,0.03677083333333331
stationary,fines_washout,34,0.3743125,0.4129791666666667,0.03866666666666668
stationary,fines_washout,36,0.37306249999999996,0.41279166666666667,0.039729166666666704
stationary,fines_washout,38,0.374375,0.417375,0.04299999999999998
stationary,fines_washout,40,0.37295833333333334,0.4199791666666666,0.04702083333333329
stationary,fines_washout,42,0.3737083333333333,0.42002083333333334,0.046312500000000034
stationary,fines_washout,44,0.37416666666666665,0.4244375,0.050270833333333376
stationary,fines_washout,46,0.3748958333333333,0.42110416666666667,0.04620833333333335
stationary,fines_washout,48,0.37397916666666664,0.43029166666666663,0.05631249999999999
stationary,fines_washout,50,0.3700833333333333,0.4293541666666667,0.059270833333333384
